,Institution_Name,Type,Geocode_Input,Lat,Lng
43,CMEI PROFA RAQUEL MARIA FILGUEIRA,kgar,"DANTAS BARRETO, 1002, NATAL-RN",-5.838336200000001,-35.2449699
44,CMEI SÁTURNINA ALVES DE LUCENA,kgar,", 625, NATAL-RN",-6.2338097,-36.0163391
45,CMEI BELCHIOR JORGE DE SÁ,kgar,"SÃO FRANCISCO, , NATAL-RN",-5.802148499999999,-35.234607
46,CMEI DR VULPIANO CAVALCANTI DE ARAÚJO,kgar,"RUA SEBASTIÃO GONCALVES, 77, NATAL-RN",-5.7660341,-35.271557
47,CMEI EVANGELINA ELITA DE SOUSA,kgar,"RUA DAS CRENDICES, 1001, NATAL-RN",-5.7355064,-35.2570125
48,CMEI MAILDE FERREIRA PINTO GALVÃO,kgar,"JOENVILLE, 58, NATAL-RN",-5.880067899999999,-35.2541727
49,CMEI MARIA LUCILA ALVES DE CARVALHO,kgar,"AV. MOEMA TINOCO DA CUNHA LIMA, 4021, NATAL-RN",-5.7189467,-35.2481877
50,CMEI PADRE SABINO GENTILLE,kgar,"RUA DA GAROUPA, 365, NATAL-RN",-5.7315429,-35.2356299
51,CMEI PAULINA ENGRACIA MARIZ DE FARIA,kgar,"RUA LAURENTINO, 142, NATAL-RN",-5.755038,-35.262506
52,CMEI PROF ANTÔNIO GURGEL DE MELO,kgar,"PRACA ARARUANA, 30, NATAL-RN",-5.7407682,-35.2562582
53,CMEI PROF JOSÉ CARLOS BEZERRA DE JESUS FILHO,kgar,"RUA ALVORADA, 957, NATAL-RN",-5.7708392,-35.2634644
54,CMEI PROF LUIZ GONZAGA DINIZ FILHO,kgar,"RUA RIO BELO, 51, NATAL-RN",-5.7516304,-35.2296864
55,CMEI PROFA ELIZABETE TEOTÔNIO DA FONSECA MELO,kgar,"RUA PRACA JARDIM DAS FLORES, 20, NATAL-RN",-5.747848599999999,-35.2245727
56,CMEI PROFA FRANCISCA CÉLIA MARTINS DE SOUZA,kgar,"RUA MARIA DO CARMO DE SOUZA, 134, NATAL-RN",-5.7544174,-35.2804863
57,CMEI PROFA MARIA ABIGAIL BARROS DE AZEVEDO,kgar,"RUA DOS REPENTISTAS, 3037, NATAL-RN",-5.7323605,-35.26064420000001
58,CMEI PROFA MARIA CLEONICE ALVES PONTES,kgar,"AV MARANGUAPE, 660, NATAL-RN",-5.7594198,-35.2581955
59,CMEI PROFA MARIA DA PIEDADE DE MELO E SILVA,kgar,"RUA BARIRI, 164, NATAL-RN",-5.727445899999999,-35.2524954
60,CMEI PROFA MARIA DAS GRAÇAS MOTA,kgar,"SÁLVADOR, 79, NATAL-RN",-5.7755016,-35.251963
61,CMEI PROFA Mª DE FÁTIMA MEDEIROS DE ARAÚJO,kgar,"RUA DO FANDANGO, , NATAL-RN",-5.730217,-35.2628078
62,CMEI PROFA MARIA NAZARÉ DA COSTA GALVAO,kgar,"SÃO LUIZ, 120, NATAL-RN",-5.7763902,-35.2503842
63,CMEI PROFA MARLUCE CARLOS DE MELO,kgar,"RUA VOLTA REDONDA, 2320, NATAL-RN",-5.750878,-35.2579859
64,CMEI PROFA ROSÁLBA DIAS DE BARROS,kgar,"RUA CARAMBEI, 95, NATAL-RN",-5.7484817,-35.2469284
65,CMEI PROFA SELVA CAPISTRANO LOPES DA SILVA,kgar,"PORTO DE ILHÉUS, 1249, NATAL-RN",-5.747806499999999,-35.2537837
66,CMEI PROFA STELLA LOPES,kgar,"RUA DOS MORORÓS, , NATAL-RN",-5.814196799999999,-35.2197982
67,CMEI PROFA TELMA REJANE MOURA FREIRE,kgar,"RUA SÁLINAS, 131D, NATAL-RN",-5.7535535,-35.2312882
68,CMEI PROFA TEREZINHA DE JESUS,kgar,"R. UBAIRA, 184, NATAL-RN",-5.732434899999999,-35.2476159
69,CMEI PROFA TEREZINHA LINHARES FAUSTINO,kgar,"AV DR JOÃO MEDEIROS FILHO, 265, NATAL-RN",-5.773018,-35.2547329
70,CMEI SANTA CECÍLIA,kgar,"R JOSIVALDO GOMES, 856, NATAL-RN",-5.728655100000001,-35.2393271
71,CMEI SANTA MÔNICA,kgar,"RUA VISCONDE DE OURO PRETO, 340, NATAL-RN",-5.721203,-35.2466319
72,ESC MUL PROF ANTÔNIO SEVERIANO,Elem,"AV OURO PRETO, 2754, NATAL-RN",-5.870579900000001,-35.2148684
73,ESC MUL PROF ARNALDO MONTEIRO BEZERRA,Elem,"ARACITABA, 2993, NATAL-RN",-5.868883599999999,-35.1975655
74,ESC MUL PROF ASCENDINO DE ALMEIDA,Elem,"RUA JOAQUIM CARDOSO, , NATAL-RN",-5.8511146,-35.2406756
75,ESC MUL PROF CARLOS BELLO MORENO,Elem,"RUA ARAPIRACA, , NATAL-RN",-5.863614399999999,-35.2071375
76,ESC MUL PROF OTTO DE BRITO GUERRA,Elem,"RUA SERRA DA JUREMA, , NATAL-RN",-5.855494999999999,-35.2459094
77,ESC MUL PROFA JOSEFA BOTELHO,Elem,"RUA MANOEL CONGO, 318, NATAL-RN",-5.8911716,-35.1694197
78,ESC MUL SÃO JOSÉ,Elem,"RUA VEREADOR MANOEL CORINGA DE LEMOS,, 434, NATAL-RN",-5.885250600000001,-35.16906549999999
79,ESC MUL PROF ULISSES DE GOIS,Elem,"PADRE RAIMUNDO BRASIL, , NATAL-RN",-5.827906899999999,-35.1955392
80,ESC MUL 4º CENTENÁRIO,Elem,"AV.FLORIANO PEIXOTO, 295, NATAL-RN",-5.781941799999999,-35.2009315
81,ESC MUL HENRIQUE CASTRICIANO,Elem,"RUA DECIO FONSECA, 633, NATAL-RN",-5.7699561,-35.2007078
82,ESC MUL JOÃO XXIII,Elem,"RUA DOS PAJEUS, 1875, NATAL-RN",-5.806911299999999,-35.2275749
83,ESC MUL JUVENAL LAMARTINE,Elem,"RUA PRESIDENTE SÁRMENTO, 1156, NATAL-RN",-5.8086022,-35.2149542
84,ESC MUL MONSENHOR JOAQUIM HONÓRIO,Elem,"RUA PTE MASCARENHAS, 768, NATAL-RN",-5.8043008,-35.2233681
85,ESC MUL PROF ANTÔNIO CAMPOS E SILVA,Elem,"RUA JOÃO XXIII, 1821, NATAL-RN",-5.8003143,-35.1833135
86,ESC MUL PROFA LAURA MAIA,Elem,"RUA DO MOTOR, 707, NATAL-RN",-5.7823026,-35.1934469
87,ESC MUL PROFA MARECI GOMES DOS SANTOS,Elem,"TRAVESSÁ OCIDENTAL DE BAIXO, 333, NATAL-RN",-5.787914199999999,-35.2145288
88,ESC MUL SANTOS REIS,Elem,"RUA DECIO FONSECA, S/N, NATAL-RN",-5.7705692,-35.1996735
89,ESC MUL CELESTINO PIMENTEL,Elem,"PERNAMBUCO, 145, NATAL-RN",-5.825702,-35.2360386
90,ESC MUL CHICO SÁNTEIRO,Elem,"RUA DA CRUZ, , NATAL-RN",-5.7983391,-35.2415525
91,ESC MUL DJALMA MARANHÃO,Elem,"RUA SANTA MARIA MADALENA, 2, NATAL-RN",-5.7739839,-35.2843381
92,ESC MUL ESTUDANTE EMMANUEL BEZERRA,Elem,"RUA MIRA MANGUE, 1187, NATAL-RN",-5.8487059,-35.2550139
93,ESC MUL FERREIRA ITAJUBÁ ENS DE 1º GRAU,Elem,"RUA DOS PEGAS, , NATAL-RN",-5.8004965,-35.2293638
94,ESC MUL NOSSA SRA DAS DORES,Elem,"RUA RIO POTENGI, 3556, NATAL-RN",-5.7911326,-35.243556
95,ESC MUL PREF MÁRIO LIRA,Elem,"AVENIDA ANTÔNIO BASILIO, 1,24, NATAL-RN",-5.8049099,-35.2351682
96,ESC MUL PROF BERILO WANDERLEY,Elem,"RUA DOS PAIANASÉS, S/N, NATAL-RN",-5.8018648,-35.2258669
97,ESC MUL PROF BERNARDO DO NASCIMENTO,Elem,"RUA NOSSA SENHORA DO LIVRAMENTO, , NATAL-RN",-5.8252164,-35.2534751
98,ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI,Elem,"RUA DA LAGOA SECA, , NATAL-RN",-5.8415656,-35.2749027
99,ESC MUL PROF LUÍS MARANHÃO FILHO,Elem,"SOLANGE NUNES DO NASCIMENTO, 239, NATAL-RN",-5.8320497,-35.2401217
100,ESC MUL PROF VERÍSSIMO DE MELO,Elem,"RUA RAINHA DO MAR, , NATAL-RN",-5.8445493,-35.2522098
101,ESC MUL PROFA ALMERINDA BEZERRA FURTADO,Elem,"RUA DA RIBEIRA, , NATAL-RN",-5.8425341,-35.2751895
102,ESC MUL PROFA ANGÉLICA DE ALMEIDA MOURA,Elem,"RUA PREF GENTIL FERREIRA, , NATAL-RN",-5.802808799999999,-35.2361278
103,ESC MUL PROFA EMÍLIA RAMOS,Elem,"RUA DANTAS BARRETO, 419, NATAL-RN",-5.8334727,-35.2404864
104,ESC MUL PROFA FRANCISCA FERREIRA DA SILVA,Elem,"AV INDUSTRIAL JOÃO FRANCISCO DA MOTA, 3804, NATAL-RN",-5.8092802,-35.2439471
105,ESC MUL PROFA IVONETE MACIEL,Elem,"AVENIDA INTERVENTOR MÁRIO CAMARA, 3133, NATAL-RN",-5.834264699999999,-35.2355654
106,ESC MUL PROFA MARIA CRISTINA OZÓRIO TAVARES,Elem,"RUA ANTÔNIO CAROLINO, 99, NATAL-RN",-5.8235901,-35.2565995
107,ESC MUL PROFA ZENEIDE IGINO DE MOURA,Elem,"AV SOLANGE NUNES DO NASCIMENTO, 277, NATAL-RN",-5.8328864,-35.2404497
108,ESC MUL SÃO FRANCISCO DE ASSIS,Elem,"AV MIGUEL CASTRO, 126, NATAL-RN",-5.8132255,-35.2361733
109,ESC MUL IRMA ARCÃNGELA ENSINO DE 1º GRAU,Elem,"RUA SÃO PEDRO, 188, NATAL-RN",-5.7704417,-35.2608574
110,ESC MUL JOÃO PAULO II,Elem,"RUA DO BAMBELO, , NATAL-RN",-5.728846799999999,-35.2616808
111,ESC MUL JORNALISTA ERIVAN FRANÇA,Elem,"RUA IRMÃ VITÓRIA, 264, NATAL-RN",-5.763452699999999,-35.2676664
112,ESC MUL MONSENHOR JOSÉ ALVES LANDIM,Elem,"RUA RETIROLÂNDIA, , NATAL-RN",-5.7533942,-35.2511485
113,ESC MUL NOSSA SRA DA APRESENTAÇÃO,Elem,"AV BOA SORTE, 251, NATAL-RN",-5.753277499999999,-35.2651474
114,ESC MUL PROFA TEREZA SÁTSUQUI,Elem,"AVENIDA MIRA MANGUE, 205, NATAL-RN",-5.8244197,-35.2652724
115,ESC MUL NOSSA SRA DOS NAVEGANTES,Elem,"RUA DO CRUZEIRO, 664, NATAL-RN",-5.7487968,-35.2055465
116,ESC MUL PROF AMADEU ARAÚJO,Elem,"RUA DOS CAROAS, S/N, NATAL-RN",-5.736632999999999,-35.2656702
117,ESC MUL PROF EUDO JOSÉ ALVES,Elem,"VITÓRIA RÉGIA, 115, NATAL-RN",-5.752214899999999,-35.2668703
118,ESC MUL PROF HERLY PARENTE,Elem,"RUA CAPELA, , NATAL-RN",-5.8629127,-35.208283
119,ESC MUL PROF JOSÉ DE ANDRADE FRAZÃO,Elem,"AV BOA SORTE, 1834, NATAL-RN",-5.7420124,-35.2766746
120,ESC MUL PROF JOSÉ DO PRATOCÍNIO PEREIRA PINTO,Elem,"AVENIDA MANGABEIRA, 1905, NATAL-RN",-5.7573845,-35.24127989999999
121,ESC MUL PROF JOSÉ MELQUIADES DE MACEDO,Elem,"RUA DAS PEDRINHAS, 237, NATAL-RN",-5.7604573,-35.2762517
122,ESC MUL PROF LAÉRCIO FERNANDES MONTEIRO,Elem,"R NOEL COSTA, 1232, NATAL-RN",-5.754687199999999,-35.2797655
123,ESC MUL PROF REGINALDO FERREIRA NETO,Elem,"RUA NOVA ESPERANÇA, , NATAL-RN",-5.7621956,-35.2775188
124,ESC MUL PROF WALDSON JOSÉ BASTOS PINHEIRO,Elem,"RUA SÃO FRANCISCO, 361, NATAL-RN",-5.753914399999999,-35.2715349
125,ESC MUL PROFA ADELINA FERNANDES,Elem,"RUA ANGRA DOS REIS -CONJUNTO, , NATAL-RN",-5.75571,-35.2515539
126,ESC MUL PROFA DALVA DE OLIVEIRA,Elem,"AVENIDA BOA SORTE, 639, NATAL-RN",-5.7503576,-35.2683348
127,ESC MUL PROFA FRANCISCA DE OLIVEIRA,Elem,"RUA LINDOLFO GOMES VIDAL, 230, NATAL-RN",-5.7438216,-35.2268249
128,ESC MUL PROFA IAPISSÁRA AGUIAR,Elem,"RUA ILHÉUS, , NATAL-RN",-5.7600295,-35.2522375
129,ESC MUL PROFA JOSEANE COUTINHO DIAS,Elem,"AVENIDA CIDADE PRAIA, 1240, NATAL-RN",-5.739798899999999,-35.2682504
130,ESC MUL PROFA LOURDES GODEIRO,Elem,"MOEMA TINOCO DA CUNHA LIMA, 4265, NATAL-RN",-5.7160494,-35.2502729
131,ESC MUL PROFA MALVINA COSME,Elem,"RUA PARANDUVA, 2903, NATAL-RN",-5.758809599999999,-35.2506097
132,ESC MUL PROFA MARIA ALEXANDRINA SAMPAIO,Elem,"RUA DO ANEQUIM, , NATAL-RN",-5.7367495,-35.2383015
133,ESC MUL PROFA MARIA DALVA GOMES BEZERRA,Elem,"RUA BARUERI, 270, NATAL-RN",-5.7291864,-35.2492261
134,"ESC MUL PROFA MARIA MADALENA XAVIER DE 
ANDRADE",Elem,"AVENIDA VOTUPORANGA, 35, NATAL-RN",-5.7414662,-35.2579869
135,ESC MUL PROFA NOILDE PESSOA RAMALHO,Elem,"RUA MANOEL CAETANO, 379, NATAL-RN",-5.745539399999999,-35.2094883
136,ESC MUL PROFA PALMIRA DE SOUZA,Elem,"RUA VOLTA REDONDA, , NATAL-RN",-5.7518139,-35.2571649
137,ESC MUL PROFA TÂNIA ALMEIDA,Elem,"FRAGATAS, 37, NATAL-RN",-5.7299291,-35.2430101
138,ESC MUL PROFA VERA LÚCIA SOARES BARROS,Elem,"AV MAR MEDITERÂNEO, 1236, NATAL-RN",-5.7402095,-35.2392997
139,ESC MUL PROFA ZULEIDE FERNANDES DE M SILVA,Elem,"AV. BARRAGEM ARMANDO RIBEIRO GONCALVES, , NATAL-RN",-5.734710000000001,-35.2299744
140,ESC MUL VEREADOR JOSÉ SOTERO,Elem,"AVENIDA ARACAJU, 142, NATAL-RN",-5.7701853,-35.2524776
