,TIME,LATITUDE,LONGITUDE,ALTITUDE,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,MAF,SPEED,THROTTLE_POS,ENGINE_RUNTIME
0,1494582911243,-5.876105395779343,-35.22583493246373,41.425588893736936,30,44.3,1015,6.33,0,15.7,00:00:28
1,1494582912262,-5.876105395779343,-35.22583493246373,41.425588893736936,31,42.4,1029,6.72,0,16.1,00:00:29
2,1494582914284,-5.876157905221461,-35.22583775082585,27.91039459341959,31,35.7,957,8.91,0,17.6,00:00:31
3,1494582916314,-5.876157905221461,-35.22583775082585,27.91039459341959,31,51.0,1059,7.61,0,16.9,00:00:33
4,1494582918335,-5.876157905221461,-35.22583775082585,27.91039459341959,32,49.4,1072,7.33,0,16.5,00:00:34
5,1494582920357,-5.8761802486124255,-35.22577250203574,24.773998915887752,33,43.9,1235,8.13,5,16.9,00:00:36
6,1494582922383,-5.876165717477437,-35.225719553501634,19.029998772353306,33,36.9,1226,5.41,7,15.3,00:00:39
7,1494582924406,-5.876165717477437,-35.225719553501634,19.029998772353306,33,56.1,1060,11.52,7,19.2,00:00:41
8,1494582926425,-5.876129205594047,-35.225678670731305,19.394965150013245,33,41.2,1374,8.52,8,17.3,00:00:42
9,1494582928449,-5.876129205594047,-35.225678670731305,19.394965150013245,34,40.0,1474,7.33,9,16.5,00:00:44
10,1494582931491,-5.876089447087282,-35.22563455390284,16.567680921854393,35,22.7,1168,3.74,7,13.7,00:00:48
11,1494582934536,-5.876053765161294,-35.225600009015984,9.849390284196872,35,27.8,1065,4.8,6,14.5,00:00:50
12,1494582936560,-5.8760059472275445,-35.22559402303378,6.358256980372424,36,47.1,1318,6.69,7,16.1,00:00:53
13,1494582938573,-5.8760059472275445,-35.22559402303378,6.358256980372424,36,41.6,1508,9.11,9,17.6,00:00:55
14,1494582940598,-5.876003749525107,-35.225508581212075,3.257446417586313,36,44.3,1670,10.36,12,18.4,00:00:56
15,1494582942616,-5.876023221225065,-35.22546632904057,3.3203625017846985,37,27.8,1251,5.63,11,18.4,00:00:59
16,1494582944637,-5.876023221225065,-35.22546632904057,3.3203625017846985,38,46.3,1764,11.33,14,18.8,00:01:02
17,1494582945646,-5.876044081144871,-35.22540432002553,3.505035059309551,38,47.1,1764,11.91,15,18.8,00:01:03
18,1494582946655,-5.876044081144871,-35.22540432002553,3.505035059309551,38,45.9,1774,11.86,16,19.2,00:01:03
19,1494582949691,-5.8761299445989135,-35.225269369068286,12.880620269143579,39,38.8,1748,9.61,17,17.6,00:01:06
20,1494582952724,-5.876223712093491,-35.22514712482533,20.99708882601081,39,35.3,1665,8.08,18,16.9,00:01:09
21,1494582954741,-5.876252443134938,-35.22510851497296,22.94623756611015,39,23.5,1477,4.05,17,14.1,00:01:10
22,1494582956770,-5.876300452801607,-35.225041870525644,25.13884696670941,40,22.0,925,3.83,14,13.7,00:01:13
23,1494582959813,-5.876337166889149,-35.22499482479739,25.144483008276712,40,38.8,832,5.3,3,14.9,00:01:16
24,1494582962864,-5.876337166889149,-35.22499482479739,25.144483008276712,41,40.8,838,4.74,0,14.5,00:01:19
25,1494582964886,-5.876337166889149,-35.22499482479739,25.144483008276712,42,40.8,827,4.55,0,14.5,00:01:21
26,1494582966903,-5.876337166889149,-35.22499482479739,25.144483008276712,41,40.4,767,4.47,0,14.5,00:01:23
27,1494582969934,-5.876398276515863,-35.224881953433105,25.55455773324184,42,59.6,1645,11.11,8,19.6,00:01:26
28,1494582971959,-5.87643260538334,-35.2248168286275,27.347990518002966,42,50.2,1758,12.05,13,19.6,00:01:28
29,1494582973973,-5.876462121834584,-35.224750678223636,27.32092148687264,42,38.4,1570,8.19,17,17.3,00:01:30
30,1494582975994,-5.87640429536278,-35.2246646023804,25.88591340745328,43,34.9,1645,7.52,17,16.5,00:01:32
31,1494582978020,-5.87640429536278,-35.2246646023804,25.88591340745328,43,21.6,1143,2.94,7,13.3,00:01:34
32,1494582980042,-5.87640429536278,-35.2246646023804,25.88591340745328,44,36.5,773,3.83,0,13.7,00:01:36
33,1494582983072,-5.876353905732045,-35.224637843038366,25.812429572989984,44,70.2,1914,17.08,11,15.3,00:01:39
34,1494582985094,-5.876276136069082,-35.22457877600303,25.72849933588605,45,29.0,1376,4.66,10,14.5,00:01:41
35,1494582988128,-5.876229774713867,-35.224555068088044,25.580708296606165,44,45.9,1580,13.05,12,20.0,00:01:44
36,1494582991153,-5.876191989624415,-35.22461537322797,25.57164791504564,45,58.8,2056,16.63,23,22.0,00:01:48
37,1494582993175,-5.876153808688687,-35.22468082907612,25.358513181975628,45,48.6,2018,9.77,27,17.6,00:01:49
38,1494582996211,-5.876047483548509,-35.22482923499485,21.12430418156997,46,21.2,1063,2.94,19,12.9,00:01:53
39,1494582998229,-5.875993436589403,-35.224874831069755,20.653826631223254,46,25.5,891,4.99,8,14.1,00:01:54
40,1494583000239,-5.875993436589403,-35.224874831069755,20.653826631223254,47,44.3,1683,12.74,11,20.4,00:01:56
41,1494583003258,-5.8759380381949935,-35.22495855325155,20.518861823371907,47,60.4,1894,15.69,22,21.2,00:01:59
42,1494583007314,-5.875808111837252,-35.225219442125635,18.433828305014305,47,21.6,1030,3.88,25,14.1,00:02:03
43,1494583010348,-5.8756889451943435,-35.225380623304524,18.81809285026904,48,29.8,930,3.38,18,13.7,00:02:06
44,1494583012380,-5.875607562402482,-35.225443268904726,18.777200448139503,48,21.2,1081,2.91,9,13.3,00:02:09
45,1494583013392,-5.875607562402482,-35.225443268904726,18.777200448139503,49,23.1,917,6.69,7,16.1,00:02:10
46,1494583016428,-5.875607562402482,-35.225443268904726,18.777200448139503,49,30.6,1013,3.69,3,13.7,00:02:12
47,1494583018457,-5.875499978838482,-35.225507806717026,18.760971094567914,49,37.6,1046,5.72,4,17.3,00:02:15
48,1494583020485,-5.875431672849263,-35.225484770210976,18.815947478820675,49,44.3,1331,8.88,8,17.6,00:02:17
49,1494583022510,-5.875368739082477,-35.22543888564608,18.22063869608331,49,58.0,1988,16.38,15,21.6,00:02:19
50,1494583024530,-5.875273666205497,-35.225375434153804,17.030621758297144,50,69.4,1728,15.55,22,22.0,00:02:21
51,1494583026551,-5.875159390484543,-35.22530967665066,17.38072303839261,50,67.5,1618,14.38,27,21.2,00:02:23
52,1494583028572,-5.875045889510092,-35.225232786246515,18.63968788492982,51,58.0,1580,10.16,30,18.0,00:02:24
53,1494583030596,-5.874941614821135,-35.225163873841595,19.283455610319358,51,20.0,1068,2.86,24,12.9,00:02:26
54,1494583032631,-5.874896938984746,-35.22513255840551,19.178329546234977,51,21.2,914,2.74,17,12.9,00:02:29
55,1494583034654,-5.8748242872899405,-35.22509205930203,17.814551002946907,51,44.7,1630,13.74,19,20.8,00:02:31
56,1494583036669,-5.874682492684469,-35.22500309528198,17.096177883865053,51,69.8,1651,15.05,24,21.6,00:02:33
57,1494583039708,-5.8744915985738215,-35.22488680984097,16.70691648294308,52,31.0,1004,4.05,24,14.1,00:02:36
58,1494583041747,-5.874398202799893,-35.22481586488494,17.44183146146925,52,29.8,982,3.97,17,14.1,00:02:38
59,1494583043769,-5.874398202799893,-35.22481586488494,17.44183146146925,52,28.6,918,4.02,13,13.7,00:02:39
60,1494583045787,-5.874288187014133,-35.22473418474497,20.465909897891837,53,31.0,974,5.66,12,14.9,00:02:41
61,1494583047817,-5.874231154788473,-35.224683786065555,21.93943516680131,53,33.3,1271,9.27,13,16.9,00:02:43
62,1494583049856,-5.874168652292376,-35.224639518076025,23.82091154127513,53,63.5,2053,18.19,21,23.1,00:02:46
63,1494583051886,-5.874168652292376,-35.224639518076025,23.82091154127513,53,20.4,1496,4.91,21,14.5,00:02:48
64,1494583054925,-5.874004291814964,-35.22448752950157,25.035946806608294,53,70.2,1848,11.97,26,22.0,00:02:51
65,1494583056934,-5.873964702018141,-35.22445343996232,24.863714780755004,53,27.8,1315,4.16,23,14.5,00:02:53
66,1494583058954,-5.873841241953277,-35.22439037504796,23.74238902703028,54,50.2,1643,13.86,18,20.8,00:02:55
67,1494583060978,-5.873730174885874,-35.224332276203725,20.973040994460494,54,71.8,1650,14.99,23,20.4,00:02:57
68,1494583063049,-5.873626099516804,-35.224279500788604,19.472754170477053,54,47.8,1303,8.8,23,17.6,00:02:59
69,1494583065076,-5.873513628250428,-35.22420045389612,18.869898735626926,55,49.0,1502,12.72,25,17.6,00:03:01
70,1494583067095,-5.873385589865844,-35.22410958352458,18.9858804097359,55,65.9,1625,15.08,28,21.2,00:03:04
71,1494583069112,-5.873246424272827,-35.22401126358969,19.724311751117085,55,67.8,1651,14.91,31,21.6,00:03:05
72,1494583071137,-5.8731097738987295,-35.223903490784544,19.915043989340642,56,69.4,1610,15.74,33,22.4,00:03:07
73,1494583072152,-5.873046949602814,-35.223839532450064,19.98632793462474,56,54.9,1502,4.33,33,17.6,00:03:09
74,1494583074170,-5.872906084125138,-35.2237415894409,21.93173425769981,57,69.4,2063,18.74,33,23.9,00:03:11
75,1494583076194,-5.872734782786875,-35.22366305567754,23.82328953091125,56,71.4,1767,15.91,34,22.4,00:03:12
76,1494583078211,-5.872547036579593,-35.22357232517244,24.61720361473609,57,69.8,1655,16.19,38,22.7,00:03:14
77,1494583081253,-5.872236408560017,-35.22340941088074,25.98928086347436,58,70.6,1697,15.88,44,22.4,00:03:17
78,1494583082270,-5.872128802546317,-35.22334437190657,26.570114659454216,58,69.0,1687,15.24,47,21.6,00:03:19
79,1494583084298,-5.871913783676214,-35.22321412055347,28.28639600085211,59,33.7,1499,9.3,47,13.7,00:03:22
80,1494583086319,-5.871693603819746,-35.22308539272572,30.087865909961945,59,41.6,1521,9.47,47,17.6,00:03:22
81,1494583088335,-5.871493805774207,-35.22296604880355,31.98141302991047,59,20.0,1301,3.41,43,13.7,00:03:24
82,1494583090358,-5.871321762349088,-35.222863483723664,33.961001984118575,59,43.9,1453,18.94,36,18.8,00:03:27
83,1494583092386,-5.871156469445468,-35.22275919072673,35.6880636881079,59,65.9,2114,11.8,39,23.1,00:03:28
84,1494583094423,-5.871007311796143,-35.222666231377524,37.22919970212122,60,19.6,1235,3.38,32,13.7,00:03:30
85,1494583096444,-5.8709070532620755,-35.222599550946576,37.91975925740501,59,20.0,1103,2.63,25,12.9,00:03:32
86,1494583098468,-5.8708622611821655,-35.22256800611059,38.213033307285045,60,22.0,998,2.94,9,13.3,00:03:35
87,1494583100488,-5.87081212617094,-35.222527567657494,38.29436776965415,60,33.7,930,4.02,7,14.1,00:03:37
88,1494583103524,-5.870749897652169,-35.222438908935615,38.677597978054976,60,65.5,2029,18.38,15,23.1,00:03:40
89,1494583105547,-5.87075497064537,-35.222352442270505,40.59640040100992,60,54.9,1902,16.97,19,22.4,00:03:42
90,1494583107580,-5.870833067116455,-35.222240484053394,40.607255914824734,60,74.9,1689,17.88,26,25.1,00:03:43
91,1494583109606,-5.870927154537468,-35.22210638489215,39.96503201415169,60,74.1,1790,17.91,32,24.3,00:03:46
92,1494583111632,-5.871020899647847,-35.22196442503075,39.329724629577946,61,73.7,1752,17.3,37,23.9,00:03:48
93,1494583114677,-5.871180179709832,-35.22170540363845,39.09474826186811,62,73.7,1791,18.05,43,24.3,00:03:50
94,1494583117707,-5.87135024808425,-35.221427950928046,39.36100255636652,62,72.5,1787,17.74,49,23.9,00:03:54
95,1494583119729,-5.871490803898072,-35.22120609484445,39.593442428478774,63,73.7,1776,17.63,51,23.9,00:03:56
96,1494583121904,-5.871635357951728,-35.220985129071,40.42442557952653,62,76.1,1622,13.05,52,19.6,00:03:59
97,1494583123910,-5.871834520066503,-35.220672916251495,41.59141285765482,63,20.4,1162,2.86,51,13.3,00:04:00
98,1494583124920,-5.871898185469968,-35.2205710509761,41.867196657557095,63,34.1,969,3.47,47,13.7,00:04:02
99,1494583126940,-5.872021326204058,-35.22036997809053,42.24283448831851,64,23.5,1019,2.72,45,12.9,00:04:03
100,1494583128963,-5.872113192829382,-35.22022646067449,43.041884265761006,64,21.6,960,2.77,31,12.9,00:04:05
101,1494583130983,-5.872156670943405,-35.220197757631205,43.04775655923561,64,22.7,899,2.83,23,13.3,00:04:08
102,1494583132007,-5.872225534179558,-35.22016505919649,42.90011004203007,64,28.6,935,3.24,17,12.9,00:04:09
103,1494583133027,-5.872225534179558,-35.22016505919649,42.90011004203007,64,23.9,998,5.94,13,13.3,00:04:10
104,1494583134043,-5.872290537945317,-35.220169275711996,42.64657945529008,64,41.2,1422,13.33,13,18.0,00:04:11
105,1494583136067,-5.872385146169077,-35.22021476991183,42.10765562073628,64,62.4,2051,18.33,20,24.3,00:04:12
106,1494583138101,-5.872508055447754,-35.220284683563904,42.789147998462155,64,78.0,1811,20.11,28,26.3,00:04:14
107,1494583140122,-5.872658792755885,-35.220383116671364,44.06194777298015,64,83.1,1878,21.33,35,27.8,00:04:16
108,1494583143154,-5.872936049891339,-35.220575584021724,46.89931240846555,65,73.3,1748,8.97,42,11.4,00:04:19
109,1494583145179,-5.8731131189552315,-35.22071043130148,48.29277301273099,65,18.0,1329,3.16,40,13.3,00:04:21
110,1494583147215,-5.873269031849405,-35.220827280159156,49.29801538667051,66,18.0,1335,6.33,39,17.6,00:04:23
111,1494583150246,-5.873521645688532,-35.22101394589231,50.433369114954395,66,18.4,1313,3.33,37,13.3,00:04:26
112,1494583152271,-5.873662377706448,-35.22111861575597,51.26692799708978,65,18.0,1272,3.22,32,13.3,00:04:28
113,1494583154295,-5.873756635888619,-35.221195735419634,51.59521338851318,65,18.8,1218,3.02,21,13.3,00:04:30
114,1494583156319,-5.873824150927513,-35.22124346043905,51.733162545662395,65,31.0,1006,4.05,15,14.1,00:04:32
115,1494583158338,-5.873871655172527,-35.22127515904583,51.72544427261181,66,36.1,1001,4.91,11,14.9,00:04:35
116,1494583160357,-5.873871655172527,-35.22127515904583,51.72544427261181,66,40.8,903,5.61,2,15.3,00:04:37
117,1494583162379,-5.873871655172527,-35.22127515904583,51.72544427261181,65,44.3,760,2.55,0,14.1,00:04:39
118,1494583164402,-5.873871655172527,-35.22127515904583,51.72544427261181,65,33.7,570,8.05,5,16.5,00:04:40
119,1494583166440,-5.873871655172527,-35.22127515904583,51.72544427261181,65,36.9,860,3.49,3,14.5,00:04:43
120,1494583168465,-5.873871655172527,-35.22127515904583,51.72544427261181,65,34.9,778,2.88,0,12.9,00:04:44
121,1494583171499,-5.873871655172527,-35.22127515904583,51.72544427261181,65,56.9,1177,5.36,3,14.9,00:04:47
