TIME;LATITUDE;LONGITUDE;ALTITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO,,,,,,,
1494584154139;-5.81915187;-35.21287673;28.0;teste;100kPa;90C;37,3%;35,7%;NODATA;596RPM;NODATA;1,78g/s;null;null;NODATA;Ethanol;52C;NODATA;0km/h;NODATA;-6,2%;00:18:20;15,7%;MIL is OFF0 codes;;53,7%;1,0%
1494584158155;-5.81915187;-35.21287673;28.0;teste;100kPa;90C;37,3%;35,3%;NODATA;600RPM;NODATA;1,81g/s;null;null;NODATA;Ethanol;52C;NODATA;0km/h;NODATA;-5,5%;00:18:25;15,7%;MIL is OFF0 codes;;53,7%;1,0%
1494584162166;-5.81915187;-35.21287673;28.0;teste;100kPa;90C;36,9%;35,7%;NODATA;597RPM;NODATA;1,81g/s;null;null;NODATA;Ethanol;52C;NODATA;0km/h;NODATA;-5,5%;00:18:29;15,7%;MIL is OFF0 codes;;53,3%;1,0%
1494584166187;-5.81915187;-35.21287673;28.0;teste;100kPa;90C;36,9%;35,7%;NODATA;599RPM;NODATA;1,81g/s;null;null;NODATA;Ethanol;52C;NODATA;0km/h;NODATA;-5,5%;00:18:33;15,7%;MIL is OFF0 codes;;53,3%;1,0%
1494584170199;-5.81915187;-35.21287673;28.0;teste;100kPa;91C;36,9%;35,7%;NODATA;604RPM;NODATA;1,79g/s;null;null;NODATA;Ethanol;52C;NODATA;0km/h;NODATA;-5,5%;00:18:36;15,7%;MIL is OFF0 codes;;53,3%;1,0%
1494584174210;-5.81915187;-35.21287673;28.0;teste;100kPa;91C;37,3%;36,5%;NODATA;587RPM;NODATA;1,81g/s;null;null;NODATA;Ethanol;51C;NODATA;10km/h;NODATA;-6,2%;00:18:40;15,7%;MIL is OFF0 codes;;54,5%;1,0%
1494584178230;-5.81921941;-35.2126984;22.0;teste;100kPa;91C;36,1%;52,2%;NODATA;1478RPM;NODATA;6,68g/s;null;null;NODATA;Ethanol;51C;NODATA;23km/h;NODATA;-4,7%;00:18:44;19,6%;MIL is OFF0 codes;;69,4%;1,0%
1494584182244;-5.81932409;-35.21246136;20.0;teste;100kPa;90C;33,3%;55,7%;NODATA;1484RPM;NODATA;6,93g/s;null;null;NODATA;Ethanol;50C;NODATA;31km/h;NODATA;-6,2%;00:18:48;20,4%;MIL is OFF0 codes;;69,8%;1,0%
1494584186260;-5.8194888;-35.2121168;20.0;teste;100kPa;90C;36,9%;49,4%;NODATA;1496RPM;NODATA;6,62g/s;null;null;NODATA;Ethanol;50C;NODATA;39km/h;NODATA;-5,5%;00:18:52;19,6%;MIL is OFF0 codes;;69,8%;1,0%
1494584190272;-5.8196361;-35.21173309;21.0;teste;100kPa;89C;34,9%;34,1%;NODATA;1457RPM;NODATA;3,01g/s;null;null;NODATA;Ethanol;51C;NODATA;40km/h;NODATA;0,0%;00:18:56;16,1%;MIL is OFF0 codes;;74,1%;1,0%
