,TIME,LATITUDE,LONGITUDE,ALTITUDE,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,MAF,SPEED,THROTTLE_POS,ENGINE_RUNTIME
0,1494537187026,-5.831991126483053,-35.20571227140624,55.772206935877314,89,45.9,804,4.55,0,14.5,00:00:20
1,1494537189060,-5.831991126483053,-35.20571227140624,55.772206935877314,89,46.7,784,4.49,0,14.5,00:00:22
2,1494537191079,-5.831968255073737,-35.20562157175214,53.88900916905621,88,47.1,796,4.61,0,14.9,00:00:24
3,1494537193104,-5.831968255073737,-35.20562157175214,53.88900916905621,88,51.0,790,4.83,0,14.9,00:00:26
4,1494537195137,-5.831968255073737,-35.20562157175214,53.88900916905621,87,47.8,828,4.38,0,14.5,00:00:28
5,1494537197160,-5.831968255073737,-35.20562157175214,53.88900916905621,87,47.1,609,6.3,0,15.7,00:00:29
6,1494537199192,-5.831968255073737,-35.20562157175214,53.88900916905621,87,58.0,1341,9.02,8,17.6,00:00:31
7,1494537201213,-5.831968255073737,-35.20562157175214,53.88900916905621,87,49.8,1396,8.97,13,17.3,00:00:33
8,1494537203232,-5.831968255073737,-35.20562157175214,53.88900916905621,87,52.9,1443,9.24,15,18.0,00:00:35
9,1494537206267,-5.831789260345589,-35.205639441882134,59.84904267587999,87,60.0,1446,10.52,18,18.8,00:00:39
10,1494537208298,-5.831669117339464,-35.205567998248526,57.94522384993633,87,64.7,1331,9.08,15,18.8,00:00:41
11,1494537211328,-5.831663912814201,-35.20551240671104,57.3550247784962,87,74.5,2002,17.61,17,23.5,00:00:43
12,1494537213351,-5.831677600014652,-35.20546032431356,54.13530209646197,86,83.5,1698,18.36,22,26.3,00:00:47
13,1494537215366,-5.831684336876327,-35.20538531017281,53.510356089594424,86,85.9,1741,18.91,27,27.5,00:00:48
14,1494537217387,-5.831716462275252,-35.20530448017901,49.51365010519379,86,64.7,1535,13.91,29,20.8,00:00:51
15,1494537219408,-5.83178564682732,-35.20518007144628,42.604149151713656,87,60.8,1542,8.77,28,13.3,00:00:52
16,1494537221425,-5.831851619894798,-35.205080908965314,36.7682568223546,87,52.9,1497,10.33,29,18.8,00:00:55
17,1494537222436,-5.831892004302134,-35.20502643701361,34.298569257252964,87,56.5,1549,10.47,30,18.8,00:00:56
18,1494537223450,-5.831923025942312,-35.20497360552857,32.2690983720924,87,63.9,1573,14.11,32,21.2,00:00:57
19,1494537226475,-5.832006084641972,-35.204802925741355,27.40496736393909,87,72.5,1652,15.08,36,22.0,00:00:59
20,1494537228494,-5.83205318844818,-35.20467002603115,25.20630454984686,87,72.5,1647,15.27,40,22.0,00:01:01
21,1494537230518,-5.832099206317114,-35.20454175546225,23.799068105877982,87,43.5,1512,8.8,43,17.3,00:01:04
22,1494537231530,-5.8321250873434565,-35.20447828637845,23.516979809918727,87,47.8,1262,1.19,43,13.7,00:01:05
23,1494537233547,-5.832191888768232,-35.204353871247385,23.92898183812789,87,19.6,1351,6.33,43,16.5,00:01:08
24,1494537234558,-5.832231093676655,-35.20427982599017,24.447533252605915,87,52.2,1417,8.83,43,17.6,00:01:08
25,1494537236580,-5.832297352429053,-35.204120709265965,25.48982089021073,87,37.3,1402,2.66,46,13.7,00:01:10
26,1494537238600,-5.832338266206947,-35.20403131342138,25.22014508288264,87,38.8,1428,7.63,48,16.9,00:01:12
27,1494537240615,-5.832481251184522,-35.20375879830815,24.5847543865453,86,42.0,1303,1.22,49,12.5,00:01:13
28,1494537241630,-5.8325442313513856,-35.203665982962605,25.157588145466622,87,19.6,1311,3.27,49,13.7,00:01:16
29,1494537242636,-5.832615085792347,-35.203576796964406,27.54667238919744,86,19.2,1200,10.16,48,13.3,00:01:17
30,1494537244655,-5.832753506982106,-35.20338801515,32.381632050294705,86,52.5,1536,9.99,50,18.4,00:01:18
31,1494537246676,-5.832898454398996,-35.203179954750325,38.16282353036821,86,52.2,1492,9.02,52,17.6,00:01:20
32,1494537248699,-5.8330467296002055,-35.20296348444758,41.86804217972764,85,43.1,1470,6.72,53,16.1,00:01:21
33,1494537249720,-5.833120203216631,-35.202850684441266,42.1563945053759,85,20.4,1255,3.16,52,13.3,00:01:23
34,1494537251743,-5.833278170235837,-35.202601110410164,43.00686133341522,85,19.2,1328,3.27,51,13.7,00:01:26
35,1494537252758,-5.8333603792922375,-35.202464757665254,42.568901229606425,85,19.2,1328,3.3,49,13.3,00:01:27
36,1494537254774,-5.833531302761672,-35.20217537622297,41.44957491207702,84,19.6,1371,3.19,48,14.5,00:01:27
37,1494537255786,-5.83362218655204,-35.20202281139526,38.97579232057395,84,19.2,1354,3.36,46,13.7,00:01:29
38,1494537257818,-5.833811365655698,-35.20174979204913,32.85771183133845,84,19.6,1339,3.49,43,13.7,00:01:31
39,1494537259845,-5.833971415756404,-35.201492687604926,26.881543058633753,83,19.2,1444,3.52,35,13.7,00:01:33
40,1494537262904,-5.834299848893348,-35.20099493618146,8.654122089670802,83,73.7,2122,17.94,37,22.7,00:01:36
41,1494537264922,-5.834478752857847,-35.200708514875934,2.465710958015648,83,65.9,1792,16.38,41,22.7,00:01:38
42,1494537266942,-5.834664062130695,-35.200476639557465,-2.6653275815074964,83,73.3,1674,15.66,46,22.4,00:01:40
43,1494537268962,-5.834812006154612,-35.20029948422401,-4.770126756354832,83,74.5,1689,15.74,50,22.4,00:01:42
44,1494537271996,-5.835018424050745,-35.199951943471774,-3.94334247997654,83,53.3,1560,3.22,54,13.7,00:01:44
45,1494537274019,-5.835168098180673,-35.19972201758021,4.405897164543461,83,48.6,1512,7.44,57,16.5,00:01:47
46,1494537277049,-5.835414221112948,-35.199300363545106,15.667441103046595,83,21.2,1163,2.94,59,13.3,00:01:49
47,1494537279073,-5.83560530883588,-35.199050726894235,21.14024874446471,83,28.6,1714,6.19,61,16.1,00:01:51
48,1494537281103,-5.835809935771433,-35.19882116132929,25.46647340912612,83,20.0,1465,3.69,61,13.7,00:01:54
49,1494537283121,-5.836016790098815,-35.198578695125114,28.04016367810359,83,26.3,1250,3.11,60,13.3,00:01:55
50,1494537285163,-5.836210214893291,-35.198342422625096,29.321087336418323,82,35.3,1163,6.97,59,16.5,00:01:58
51,1494537287181,-5.836398396444957,-35.19810603037403,30.46448452310505,82,49.0,1294,7.97,58,17.3,00:02:00
52,1494537289201,-5.836575700867156,-35.197884364278224,31.826024320802947,82,39.6,1290,6.11,57,15.7,00:02:02
53,1494537291224,-5.836744943923089,-35.197674349446366,32.26390480205377,82,47.1,1267,8.27,57,17.6,00:02:04
54,1494537293258,-5.836970351146016,-35.19745172565532,32.901657454605996,83,38.8,1317,2.94,56,15.7,00:02:06
55,1494537295278,-5.837155833003273,-35.19728256804563,32.792267725609065,83,18.0,1597,3.77,38,14.1,00:02:08
56,1494537297299,-5.837289647540718,-35.19717218650572,33.519146587451786,83,19.2,1408,12.11,32,13.7,00:02:10
57,1494537300330,-5.8375697390385355,-35.196967727369596,35.368509294063394,83,74.9,1740,16.72,40,23.9,00:02:13
58,1494537303358,-5.837893144167651,-35.1967569560609,39.229242334608415,83,76.1,1617,15.49,46,22.4,00:02:16
59,1494537305380,-5.838110885180688,-35.19660253244814,40.9184761046722,83,62.7,1382,14.11,48,21.6,00:02:19
60,1494537307411,-5.838332797690314,-35.196445938834316,41.6363359837915,83,71.0,1607,14.44,49,21.6,00:02:20
61,1494537309446,-5.8385651960118095,-35.19628057930909,42.04343831523218,83,67.1,1593,10.66,52,19.2,00:02:22
62,1494537312481,-5.838904875656531,-35.19603830809275,42.02557115433832,84,53.3,1509,10.05,53,18.0,00:02:25
63,1494537314504,-5.839129895850547,-35.19587331136251,41.14991993501687,84,49.8,1500,9.47,53,17.6,00:02:27
64,1494537316528,-5.839339130023732,-35.19571595162986,40.15607802707078,84,20.4,1485,3.33,52,11.8,00:02:29
65,1494537318543,-5.839534695163457,-35.19557686265878,39.517852348206866,84,20.0,1288,3.72,41,13.3,00:02:32
66,1494537320579,-5.839673261731557,-35.19547808899839,39.203936228800245,84,18.4,1474,11.33,35,19.2,00:02:34
67,1494537322603,-5.839827580980978,-35.19537487811646,38.95406639931254,84,71.0,1648,16.02,38,22.0,00:02:35
68,1494537325660,-5.840112205800648,-35.19521946998835,39.53131699371024,84,74.9,1676,16.33,41,22.7,00:02:38
69,1494537327684,-5.840322000422754,-35.19514155769353,40.29868282142662,84,80.0,1736,19.27,41,25.9,00:02:40
70,1494537329704,-5.8404980678389045,-35.195102828603474,40.858513833200384,84,85.5,1811,20.3,41,28.6,00:02:42
71,1494537331739,-5.840689669743309,-35.1950621605638,41.53598697781031,84,85.5,1864,21.88,42,29.4,00:02:44
72,1494537333761,-5.840899515920135,-35.195028784681405,42.339677990112044,84,85.1,2050,20.58,44,27.8,00:02:46
73,1494537335798,-5.8411181663978216,-35.19502597448989,43.95764116398831,84,71.8,2099,19.72,45,24.3,00:02:48
74,1494537337822,-5.841348212824753,-35.19506479499937,46.37735938859619,84,72.5,2133,15.97,45,24.7,00:02:50
75,1494537340866,-5.841636152619334,-35.19509779408001,49.56280315322112,84,18.4,1923,3.86,31,20.8,00:02:53
76,1494537342883,-5.84187981930188,-35.19512755898013,50.935833088553856,84,65.5,1730,15.99,36,23.1,00:02:56
77,1494537344903,-5.8420856851884855,-35.195143913144605,51.327133525177324,84,65.9,1897,13.52,42,20.4,00:02:58
78,1494537347934,-5.842448713099726,-35.19518392519701,48.38880146043022,85,18.8,1549,3.63,44,13.7,00:03:00
79,1494537349959,-5.842688045658503,-35.195223265505625,48.21584800900386,85,18.8,1461,3.47,43,13.7,00:03:03
80,1494537351967,-5.8428839427070285,-35.195339053378525,48.56757155374753,85,18.4,1377,3.38,39,13.7,00:03:05
